vidrio_municipio_codigo;vidrio_municipio_nombre;vidrio_a€o;vidrio_n£mero_habitantes;vidrio_n£mero_contenedores;vidrio_recogido_kg
1163;Pozuelo del Rey;2023;1254;9;11118
1179;Pr dena del Rinc¢n;2023;150;2;4355
1185;Puebla de la Sierra;2023;99;5;2309
9020;Puentes Viejas;2023;760;12;16037
1198;Quijorna;2023;3863;20;32626
1202;Rascafr¡a;2023;1736;29;53905
1219;Redue€a;2023;304;2;3978
1224;Ribatejada;2023;912;13;10148
1230;Rivas-Vaciamadrid;2023;100275;335;1376037
1245;Robledillo de la Jara;2023;135;3;5492
1258;Robledo de Chavela;2023;4705;43;67800
1261;Robregordo;2023;79;2;1948
1277;Rozas de Madrid, Las;2023;98086;557;1308780
1283;Rozas de Puerto Real;2023;578;6;3600
1296;San Agust¡n del Guadalix;2023;13650;78;204767
1300;San Fernando de Henares;2023;38974;126;491138
1317;San Lorenzo de El Escorial;2023;18489;94;343041
1322;San Mart¡n de la Vega;2023;20304;97;146934
1338;San Mart¡n de Valdeiglesias;2023;9003;70;97482
1343;San Sebasti n de los Reyes;2023;92734;266;1257489
1356;Santa Mar¡a de la Alameda;2023;1517;20;39206
1369;Santorcaz;2023;942;12;20622
1375;Santos de la Humosa, Los;2023;2772;23;30206
1381;Serna del Monte, La;2023;106;4;4741
1408;Serranillos del Valle;2023;4625;35;44928
1415;Sevilla la Nueva;2023;9551;63;104551
1436;Somosierra;2023;85;4;2615
1441;Soto del Real;2023;9399;71;179209
1454;Talamanca de Jarama;2023;4355;27;52444
1467;Tielmes;2023;2742;22;26330
1473;Titulcia;2023;1362;10;19481
1489;Torrej¢n de Ardoz;2023;137711;471;1690271
1492;Torrej¢n de la Calzada;2023;10222;54;107840
1505;Torrej¢n de Velasco;2023;4756;49;54244
1512;Torrelaguna;2023;4949;30;53580
1527;Torrelodones;2023;25115;166;501529
1533;Torremocha de Jarama;2023;1144;15;28016
1548;Torres de la Alameda;2023;7737;43;99413
9036;Tres Cantos;2023;51453;197;890351
1551;Valdaracete;2023;633;9;5305
1564;Valdeavero;2023;1782;15;19655
1570;Valdelaguna;2023;1045;19;17650
1586;Valdemanco;2023;1066;13;19715
1599;Valdemaqueda;2023;820;18;13746
1603;Valdemorillo;2023;13651;90;196586
1610;Valdemoro;2023;81394;297;803997
1625;Valdeolmos-Alalpardo;2023;4523;33;84891
1631;Valdepilagos;2023;623;7;8634
1646;Valdetorres de Jarama;2023;4990;40;71186
1659;Valdilecha;2023;3191;18;58050
1662;Valverde de Alcal ;2023;535;9;8973
1678;Velilla de San Antonio;2023;13376;63;144849
1684;Vell¢n, El;2023;2200;11;20054
1697;Venturada;2023;2554;20;60411
1718;Villa del Prado;2023;7273;39;58649
1701;Villaconejos;2023;3499;27;64055
1723;Villalbilla;2023;16823;108;228640
1739;Villamanrique de Tajo;2023;800;12;9475
1744;Villamanta;2023;2774;17;26259
1757;Villamantilla;2023;1576;12;15154
1760;Villanueva de la Ca€ada;2023;23593;120;337464
1782;Villanueva de Perales;2023;1671;16;19717
1776;Villanueva del Pardillo;2023;17731;110;226096
1795;Villar del Olmo;2023;2258;12;20074
1809;Villarejo de Salvans;2023;7746;61;87575
1816;Villaviciosa de Od¢n;2023;28750;184;384581
1821;Villavieja del Lozoya;2023;314;9;13430
1837;Zarzalejo;2023;1810;21;25948
