Signatura,Denominació comercial,Municipi,Adreça de l'establiment,Nombre de vehicles,Nom explotador(s),NIF/CIF explotador(s)
RC/105,SUREDA MAS,CAPDEPERA,"Via de les Coves, 52. 07589 Canyamel, CAPDEPERA, Mallorca",30,FRANCISCO SUREDA SANCHO,*********
RC/106,DIMCAR,PALMA,"Carrer Sant Ramon Nonat, 7 porta baixos. 07610 Can Pastilla, PALMA, Mallorca",13,DIMCAR MALLORCA SL,B57568545
RC/107,FALCO RENT,CALVIÀ,"Carrer Duc de Extremera, 7. 07181 Palmanova, CALVIÀ, Mallorca",18,FALCO RENT SL,B07225071
RC/108,AUTOVERMIENTUNG LEOCAR,PALMA,"Carrer Gran Via, , 5 local 55. 07610 Can Pastilla, PALMA, Mallorca",71,AUTOVERMIETUNG LEOCAR SL,B07722143
RC/109,TORRENOVA,CALVIÀ,"Avinguda Pedro Vaquer , 8 local 11. 07181 Magaluf, CALVIÀ, Mallorca",130,TORRENOVA RENT A CAR SL,B57051823
RC/110,ECUS,CALVIÀ,"Avinguda Pedro Vaquer, 12 local 1. 07181 Magaluf, CALVIÀ, Mallorca",23,ECUS RENT A CAR SL,B07716079
RC/111,MEDITERRANEO,SANT LLORENÇ DES CARDASSAR,"Avinguda Las Savinas, 172. 07560 Coma (La), SANT LLORENÇ DES CARDASSAR, Mallorca",7,AUTOVERMIETUNG MEDITERRANEO SL,B07652183
RC/112,SUN&FUN,PALMA,"Camí Son Mossons, s/n. 07611 PALMA, Mallorca",83,SUN&FUN RENT A CAR SL,B57483448
RC/113,TERRY'S,PALMA,"Carrer BELLAMAR, 8. 07610 PALMA, Mallorca",60,TERRY'S RENT A CAR SL,B57904518
RC/114,RENT A BIKE SA COMA,SANT LLORENÇ DES CARDASSAR,"Avinguda Ses Savines, 140. 07560 Coma (La), SANT LLORENÇ DES CARDASSAR, Mallorca",10,MATEO VITRI SL,B07280571
RC/116,RENT ME STELMAKH MALLORCA,CALVIÀ,"Carrer Gran Via puig de Gaalatzo, 16 local O. 07180 Santa Ponça, CALVIÀ, Mallorca",22,RENT ME STELMAKH MALLORCA SL,B57878894
